label,index,low,normal,winner,best_step,identity_best_step,selected_best_step,identity_final_mse,selected_final_mse,identity_updates,selected_updates,active_count,dark_active_count,reproduction_max_abs,grid_max_abs,seconds,ev_lower_active_count,ev_lower_all_count,ev_upper_active_count,ev_upper_all_count,ev_either_active_count,ev_either_all_count,gamma_lower_active_count,gamma_lower_all_count,gamma_upper_active_count,gamma_upper_all_count,gamma_either_active_count,gamma_either_all_count,raw_mse,raw_psnr,raw_ssim,selected_mse,selected_psnr,selected_ssim,oracle_mse,oracle_psnr,oracle_ssim,delta_psnr,delta_ssim
REFERENCE_ORACLE_ONLY,21,Train/Low/low00520.png,Train/Normal/normal00520.png,T022C_selected,500,500,500,0.07982736379749591,0.07977908471657486,500,500,4,4,0.0,0.0,11.634503347973805,0,0,0,0,0,0,4,4,0,0,4,4,0.16222393987314507,7.898850552567263,0.09116325698288649,0.11506450317151104,9.390586334022233,0.22424997442855168,0.07977908471657486,10.981109505383518,0.3308308532019777,1.5905231713612853,0.10658087877342601
REFERENCE_ORACLE_ONLY,22,Train/Low/low00424.png,Train/Normal/normal00424.png,identity,282,282,240,0.07416929445331238,0.07416929445331238,500,500,4,1,0.0,0.0,11.885603100003209,0,0,3,3,3,3,4,4,0,0,4,4,0.09975226824753047,10.010772201907265,0.12361664379005625,0.10659835273791414,9.72249506401019,0.10791152056286556,0.07416929445331241,11.297758522608298,0.10052559377261676,1.5752634585981085,-0.007385926790248798
REFERENCE_ORACLE_ONLY,23,Train/Low/low00535.png,Train/Normal/normal00535.png,T022C_selected,500,500,500,0.06560761461444356,0.06546686416687196,500,500,4,4,0.0,0.0,11.897399207984563,0,0,0,0,0,0,4,4,0,0,4,4,0.2568095892957261,5.903887637010607,0.14019142204178217,0.13069505262524164,8.837408520386155,0.41273420402429545,0.06546686416687195,11.839784610886916,0.5167700104572062,3.0023760905007606,0.10403580643291072
REFERENCE_ORACLE_ONLY,24,Train/Low/low00336.png,Train/Normal/normal00336.png,T022C_selected,180,210,180,0.03492456101347589,0.03492456101347589,500,500,4,1,0.0,0.0,11.748361933976412,0,0,3,3,3,3,4,4,0,0,4,4,0.05081551700648605,12.940036514702896,0.1423579808818283,0.05152104123621585,12.880153685020218,0.13652009107160568,0.03492456067347691,14.568690482999587,0.11761636032428917,1.6885367979793688,-0.018903730747316508
REFERENCE_ORACLE_ONLY,25,Train/Low/low00554.png,Train/Normal/normal00554.png,T022C_selected,500,500,500,0.09058029829347918,0.09052552246009833,500,500,4,4,0.0,0.0,11.855561315955129,0,0,0,0,0,0,4,4,0,0,4,4,0.22870745659326222,6.407196757757761,0.10487064696469772,0.16418513601394713,7.846661629249844,0.26767069498225493,0.09052552246009828,10.432289600112775,0.3765590747787543,2.58562797086293,0.10888837979649935
REFERENCE_ORACLE_ONLY,26,Train/Low/low00564.png,Train/Normal/normal00564.png,T022C_selected,500,500,500,0.023418018182286345,0.023243253866858653,500,500,4,4,0.0,0.0,11.965676661988255,0,0,0,0,0,0,4,4,0,0,4,4,0.19483890989280758,7.103243089342994,0.10613713083594403,0.06180109139570528,12.090038552842087,0.41983851497486113,0.023243253866858656,16.33703074323741,0.48978740485860706,4.246992190395323,0.06994888988374592
REFERENCE_ORACLE_ONLY,27,Train/Low/low00440.png,Train/Normal/normal00440.png,identity,7,7,14,0.024939994834935475,0.024939994834935475,500,500,4,0,0.0,0.0,11.74192827497609,0,0,4,4,4,4,4,4,0,0,4,4,0.030613007828025736,15.140939974546516,0.2154287462252617,0.03670624021098624,14.352600976328954,0.2211404075688932,0.02493999483493546,16.031036407997078,0.1630329764115371,1.6784354316681238,-0.05810743115735609
REFERENCE_ORACLE_ONLY,28,Train/Low/low00584.png,Train/Normal/normal00584.png,T022C_selected,500,500,500,0.05677180331604555,0.056685242190944826,500,500,4,4,0.0,0.0,11.800789904023986,0,0,0,0,0,0,4,4,0,0,4,4,0.17534850222405915,7.56097939383872,0.12495984315464051,0.09476227163901482,10.23364536927069,0.3689633605691176,0.0566852421909448,12.465299934752853,0.42725395338087796,2.231654565482163,0.058290592811760356
REFERENCE_ORACLE_ONLY,29,Train/Low/low00529.png,Train/Normal/normal00529.png,T022C_selected,500,500,500,0.05395955335004104,0.05395058147671902,500,500,4,2,0.0,0.0,11.87569023197284,0,0,2,2,2,2,4,4,0,0,4,4,0.1717127713237972,7.651974025141996,0.18272547377754164,0.13411395490055106,8.725260303438766,0.3288691847623106,0.05395058147671902,12.680038701512368,0.4556826573028072,3.9547783980736018,0.12681347254049663
REFERENCE_ORACLE_ONLY,30,Train/Low/low00213.png,Train/Normal/normal00213.png,T022C_selected,500,500,500,0.09944125011735833,0.0993282159511295,500,500,4,4,0.0,0.0,11.942971976997796,0,0,0,0,0,0,4,4,0,0,4,4,0.2830034130736512,5.482083267721242,0.11287464349198718,0.17088878990123668,7.672864255397334,0.32692071166887265,0.09932821595112948,10.029273648860466,0.39081811693279145,2.3564093934631316,0.0638974052639188
REFERENCE_ORACLE_ONLY,31,Train/Low/low00019.png,Train/Normal/normal00019.png,T022C_selected,500,500,500,0.15995038591116553,0.15988487109479582,500,500,4,4,0.0,0.0,11.914055772998836,0,0,0,0,0,0,4,4,0,0,4,4,0.2614472879225783,5.826158588883235,0.03438005012922033,0.20957947465758775,6.7865125260165415,0.13320991469003288,0.15988487109479585,7.961926288797536,0.2096699642978418,1.1754137627809946,0.07646004960780892
REFERENCE_ORACLE_ONLY,32,Train/Low/low00004.png,Train/Normal/normal00004.png,T022C_selected,500,500,500,0.09790895252638435,0.09781197498337924,500,500,4,4,0.0,0.0,11.811963645974174,0,0,0,0,0,0,4,4,0,0,4,4,0.25872768418370146,5.871570987478868,0.07623366309546356,0.16408707606316097,7.849256237944826,0.23110108228364856,0.09781197498337921,10.096079718909861,0.30858076778365784,2.246823480965035,0.07747968550000928
REFERENCE_ORACLE_ONLY,33,Train/Low/low00449.png,Train/Normal/normal00449.png,identity,185,185,205,0.0437414451637391,0.0437414451637391,500,500,4,2,0.0,0.0,11.72504652797943,0,0,2,2,2,2,4,4,0,0,4,4,0.0640611352693535,11.934053691869188,0.15752351761292077,0.0600113112317476,12.217668839072722,0.1206573746514429,0.04374144498489266,13.591068742796402,0.11560618917481182,1.37339990372368,-0.0050511854766310815
REFERENCE_ORACLE_ONLY,34,Train/Low/low00040.png,Train/Normal/normal00040.png,T022C_selected,500,500,500,0.016644893172197396,0.01640144755343374,500,500,4,4,0.0,0.0,11.713769924012013,0,0,0,0,0,0,4,4,0,0,4,4,0.24589336963705632,6.09253181586055,0.25347568399017417,0.06832483059581061,11.654214364211908,0.6763004849631229,0.01640144755343374,17.8511782044465,0.7438981224251947,6.196963840234593,0.06759763746207181
