index,low,snr_psnr,snr_ssim,ours_psnr,ours_ssim,delta_psnr,delta_ssim,seconds
14,Train/Low/low00080.png,22.141477261182434,0.9297782843640429,10.808909735950651,0.6352973303924846,11.332567525231783,0.29448095397155827,0.019356174976564944
15,Train/Low/low00501.png,26.10852914180786,0.8774356381225262,13.389301164411027,0.6169238958427573,12.719227977396834,0.2605117422797689,0.01945613499265164
16,Train/Low/low00133.png,20.496455369222943,0.7566160513855361,6.189378497847891,0.11536151130543092,14.307076871375052,0.6412545400801052,0.019922248960938305
17,Train/Low/low00455.png,24.424057000370155,0.7621136224270821,9.727732525686637,0.11956665710279603,14.696324474683518,0.6425469653242861,0.020700569031760097
18,Train/Low/low00206.png,28.87102668354779,0.9041382401920703,18.703869367355377,0.7460552253736397,10.167157316192412,0.15808301481843068,0.019360240956302732
19,Train/Low/low00314.png,27.319097510332583,0.8641052145244666,11.88511476737953,0.16354399542914858,15.433982742953052,0.7005612190953181,0.019285307032987475
20,Train/Low/low00097.png,27.777812081947214,0.849033603600066,11.501195776102078,0.3408078568754589,16.27661630584514,0.5082257467246071,0.019793074985500425
21,Train/Low/low00520.png,22.0775884247412,0.7428915012918861,10.113436304013778,0.2976039068990005,11.964152120727423,0.44528759439288557,0.019348642032127827
22,Train/Low/low00424.png,24.151269093968462,0.7254504616432237,9.93686206585909,0.10282537639672713,14.214407028109372,0.6226250852464965,0.020119416003581136
23,Train/Low/low00535.png,26.754701360020682,0.8890537251681438,10.484700035384023,0.5113643687578813,16.27000132463666,0.3776893564102626,0.01993720099562779
24,Train/Low/low00336.png,19.758496429270885,0.7753698664956008,13.104200138187078,0.13494766527295868,6.654296291083806,0.6404222012226422,0.019360524020157754
25,Train/Low/low00554.png,27.691778514766888,0.8765630048846467,8.823746543876622,0.34439507756216353,18.868031970890264,0.5321679273224831,0.019244672963395715
26,Train/Low/low00564.png,19.850615480762997,0.5617957052535992,14.099691941736998,0.46367436499737985,5.750923539025999,0.09812134025621938,0.019759276998229325
27,Train/Low/low00440.png,18.804985495680693,0.6779760273687037,14.352600897982182,0.2211404067197792,4.4523845976985115,0.45683562064892447,0.01938723202329129
28,Train/Low/low00584.png,25.24235383949388,0.8810115394755115,11.709569328117217,0.4330383692184943,13.532784511376663,0.44797317025701716,0.019857071980368346
29,Train/Low/low00529.png,24.223170010690467,0.8534772325404079,9.807041362854989,0.4582053033622563,14.416128647835478,0.39527192917815157,0.02004609996220097
30,Train/Low/low00213.png,26.032528609733486,0.899913718354418,9.000057467016699,0.41609300196141047,17.032471142716787,0.48382071639300755,0.019862162007484585
31,Train/Low/low00019.png,18.206565825432502,0.7859001779012634,7.20114462211546,0.1732170827389536,11.005421203317042,0.6126830951623099,0.01929827796993777
32,Train/Low/low00004.png,24.927372223379038,0.8584389083841534,8.476385794119066,0.27194003082772905,16.45098642925997,0.5864988775564244,0.020532210997771472
33,Train/Low/low00449.png,20.483522480358708,0.7675503423349131,12.032708302911907,0.11456134158811886,8.450814177446802,0.6529890007467943,0.02002015500329435
34,Train/Low/low00040.png,24.763901748657755,0.9194495078540211,14.005466160074187,0.749532846196364,10.758435588583568,0.16991666165765718,0.019443699973635375
35,Train/Low/low00465.png,25.765076375691045,0.7541223405538081,12.37391291961248,0.16539993625179653,13.391163456078566,0.5887224043020116,0.01928638096433133
36,Train/Low/low00293.png,28.297658116607934,0.8539474975817595,8.271484947347394,0.09193744985483218,20.026173169260538,0.7620100477269273,0.02001811098307371
37,Train/Low/low00563.png,21.879113007193926,0.6851393339405175,18.745086637458403,0.5867636555208312,3.1340263697355226,0.09837567841968631,0.019684149010572582
38,Train/Low/low00515.png,19.99270178787116,0.5165582266934229,11.210278032846727,0.21989973653506342,8.782423755024432,0.29665849015835943,0.020496794022619724
39,Train/Low/low00476.png,25.854786240628854,0.9004704767709762,17.214265777640403,0.6613801907297435,8.640520462988452,0.23909028604123272,0.020010145963169634
40,Train/Low/low00219.png,20.721013799275582,0.8890855166654174,9.296729272490914,0.40307189785093156,11.424284526784668,0.4860136188144858,0.020226371008902788
41,Train/Low/low00084.png,29.217298072581105,0.9416956266550364,15.121432596413767,0.728619983461308,14.095865476167338,0.2130756431937284,0.024757879960816354
42,Train/Low/low00100.png,26.719959164683303,0.8485246365038195,11.192537684238506,0.37814427391123695,15.527421480444797,0.47038036259258253,0.021097280958201736
43,Train/Low/low00561.png,22.759147961960657,0.7100020085780503,16.7757246793878,0.5561198587296148,5.983423282572858,0.1538821498484355,0.021002744033467025
44,Train/Low/low00510.png,18.91780167472669,0.7453130935388051,9.617310370626427,0.31608536081770566,9.300491304100262,0.4292277327210995,0.020865719998255372
45,Train/Low/low00562.png,18.8548065426954,0.7045314196239922,10.31045786525722,0.4526981990052045,8.54434867743818,0.2518332206187877,0.02100541803520173
46,Train/Low/low00247.png,24.015981143475326,0.9280435400632974,16.91065121922547,0.8019264701999828,7.105329924249855,0.1261170698633146,0.020812700036913157
47,Train/Low/low00326.png,22.772398121827734,0.8367876754778059,8.414040631342525,0.1429372895799649,14.35835749048521,0.693850385897841,0.02061794704059139
48,Train/Low/low00385.png,19.334998896977613,0.7642806408172403,5.258010675230763,0.08975073127907605,14.076988221746848,0.6745299095381643,0.020943924027960747
49,Train/Low/low00295.png,21.38035718454653,0.8676680838608205,10.986011528613378,0.20002602345358356,10.39434565593315,0.667642060407237,0.0206372810062021
50,Train/Low/low00331.png,18.237856803415468,0.768251463268701,6.7547131450609585,0.06681197139023277,11.48314365835451,0.7014394918784682,0.020836865005549043
51,Train/Low/low00124.png,28.60764614576817,0.9151308355095963,8.61970939026534,0.42393746853051884,19.98793675550283,0.49119336697907745,0.02054049097932875
