label,index,low,winner,best_step,identity_best_step,selected_best_step,identity_updates,selected_updates,active_count,reproduction_max_abs,grid_max_abs,seconds,ev_lower_active_count,ev_lower_inactive_count,ev_lower_all_count,ev_upper_active_count,ev_upper_inactive_count,ev_upper_all_count,ev_either_active_count,ev_either_inactive_count,ev_either_all_count,gamma_lower_active_count,gamma_lower_inactive_count,gamma_lower_all_count,gamma_upper_active_count,gamma_upper_inactive_count,gamma_upper_all_count,gamma_either_active_count,gamma_either_inactive_count,gamma_either_all_count,raw_mse,raw_psnr,raw_ssim,selected_mse,selected_psnr,selected_ssim,oracle_mse,oracle_psnr,oracle_ssim,delta_psnr,delta_ssim
REFERENCE_ORACLE_ONLY,10,Train/Low/low00177.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.364233145024627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18722252404254092,7.276419041078491,0.05943688083581653,0.11341295386095754,9.453373381323871,0.25344007739758734,0.04207748239800855,13.75950253012153,0.36353359698907256,4.306129148797659,0.11009351959148522
REFERENCE_ORACLE_ONLY,11,Train/Low/low00542.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.015688357001636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25178098246732006,5.989770761400385,0.133256225323828,0.10432221374080317,9.816232056879374,0.48628929161817425,0.016637335860164953,17.789162161379302,0.5830124432827327,7.972930104499929,0.09672315166455847
REFERENCE_ORACLE_ONLY,12,Train/Low/low00592.png,T026A_selected,500,500,500,500,500,3,0.0,0.0,11.208932415989693,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0.1476628236181513,8.307288312267225,0.24123625656006484,0.0729705428697077,11.368524227696506,0.5167086853258058,0.061784720635343404,12.091189126814044,0.48396653090545133,0.7226648991175377,-0.0327421544203545
REFERENCE_ORACLE_ONLY,13,Train/Low/low00184.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.149787217960693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1837641023501259,7.35739322514076,0.10164020915940625,0.08936644461471677,10.48825519842225,0.35593299576616366,0.026664671662273057,15.740637596706204,0.42412845465190063,5.252382398283954,0.06819545888573697
REFERENCE_ORACLE_ONLY,14,Train/Low/low00080.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,10.154966549016535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27528898568789695,5.6021116438095255,0.22065302702760298,0.08300591215395252,10.808909735950651,0.6352973303924846,0.00202613650270991,26.93331299164939,0.7408169706255675,16.124403255698738,0.10551964023308291
REFERENCE_ORACLE_ONLY,15,Train/Low/low00501.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,7.909460555005353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1461916842787011,8.350773303507005,0.1705303528937216,0.045821561355872745,13.389301164411027,0.6169238958427573,0.0032646030358019274,24.86169619853498,0.7201967958038661,11.472395034123952,0.10327289996110878
REFERENCE_ORACLE_ONLY,16,Train/Low/low00133.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,8.301921950012911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3180859060566678,4.974555734497576,0.026132485745239575,0.24047069037533506,6.189378497847891,0.11536151130543092,0.155395595180024,8.085612958061583,0.17866924465681297,1.8962344602136918,0.06330773335138205
REFERENCE_ORACLE_ONLY,17,Train/Low/low00455.png,identity,500,500,500,500,500,4,0.0,0.0,11.176473920990247,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0.0945582684720618,10.243004890845832,0.13014798542796818,0.10646987579511812,9.727732525686637,0.11956665710279603,0.05123466836548607,12.904360705730124,0.07711532252680064,3.176628180043487,-0.042451334575995384
REFERENCE_ORACLE_ONLY,18,Train/Low/low00206.png,T026A_selected,362,500,362,500,500,4,0.0,0.0,11.584016760985833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10024972435193047,9.989168128484296,0.30858969199528347,0.01347761552936105,18.703869367355377,0.7460552253736397,0.0010079170139117954,29.965752237276174,0.7361700186183089,11.261882869920797,-0.009885206755330778
REFERENCE_ORACLE_ONLY,19,Train/Low/low00314.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.232154936995357,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0.08554106954738523,10.678253239222794,0.18427194394802734,0.06478709742968236,11.88511476737953,0.16354399542914858,0.020983585282781596,16.781203056801562,0.16408118641379976,4.896088289422032,0.0005371909846511869
REFERENCE_ORACLE_ONLY,20,Train/Low/low00097.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.194774923962541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12510764554120862,9.02716149020426,0.09933405381524278,0.07077508871073586,11.501195776102078,0.3408078568754589,0.014924531072929336,18.260993054675073,0.44310435126257613,6.759797278572995,0.10229649438711724
REFERENCE_ORACLE_ONLY,21,Train/Low/low00520.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.516471386014018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16222393987314507,7.898850552567263,0.09116325698288649,0.09742184937522304,10.113436304013778,0.2976039068990005,0.03360573482532193,14.735866038461989,0.47447023704344876,4.622429734448211,0.17686633014444825
REFERENCE_ORACLE_ONLY,22,Train/Low/low00424.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.493147527973633,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0.09975226824753047,10.010772201907265,0.12361664379005625,0.10146442379759663,9.93686206585909,0.10282537639672713,0.0495263053625363,13.051640689590208,0.08224639302612971,3.1147786237311177,-0.020578983370597423
REFERENCE_ORACLE_ONLY,23,Train/Low/low00535.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.499319209018722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2568095892957261,5.903887637010607,0.14019142204178217,0.08943963052201317,10.484700035384023,0.5113643687578813,0.013164820909013735,18.805850445530613,0.6196943439901061,8.32115041014659,0.10832997523222487
REFERENCE_ORACLE_ONLY,24,Train/Low/low00336.png,T026A_selected,500,500,500,500,500,4,0.0,0.0,11.666016567032784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05081551700648605,12.940036514702896,0.1423579808818283,0.04893053746480449,13.104200138187078,0.13494766527295868,0.023857510415901572,16.223748778931576,0.09108420772754766,3.1195486407444974,-0.043863457545411016
