index,low,winner,best_step,identity_best_step,selected_best_step,seconds,identity_mse,identity_psnr,identity_ssim,selected_mse,selected_psnr,selected_ssim,oracle_mse,oracle_psnr,oracle_ssim,t028_psnr,t028_ssim,delta_psnr,delta_ssim,ev_00,ev_01,ev_10,ev_11,gamma_00,gamma_01,gamma_10,gamma_11,wb_r_00,wb_r_01,wb_r_10,wb_r_11,wb_g_00,wb_g_01,wb_g_10,wb_g_11,wb_b_00,wb_b_01,wb_b_10,wb_b_11
46,Train/Low/low00247.png,T026A_selected,500,500,500,11.572261271008756,0.0006421892209707061,31.92336988262244,0.8274996067604032,0.000635544675211422,31.96853915580705,0.8342713263608403,0.000635544675211422,31.96853915580705,0.8342713263608403,31.938337985432973,0.8356463063500776,0.030201170374077435,-0.0013749799892373016,1.0385195016860962,1.4888051748275757,1.4923460483551025,1.1074488162994385,0.5455894470214844,0.5916710495948792,0.6047472357749939,0.596787691116333,1.180387020111084,1.0341026782989502,1.0503926277160645,1.2141708135604858,1.175082802772522,1.0329766273498535,1.0548875331878662,1.2168803215026855,1.1752581596374512,1.0479285717010498,1.0518629550933838,1.2254037857055664
47,Train/Low/low00326.png,T026A_selected,500,500,500,11.588669824996032,0.021115909312669764,16.75390211848749,0.1598292550941507,0.021111378285794694,16.754834122453957,0.15983853495693726,0.021111378285794694,16.754834122453957,0.15983853495693726,15.148901107740286,0.18636588126373277,1.6059330147136706,-0.026527346306795513,-0.5,0.7684642672538757,-0.5,-0.25595539808273315,0.5118095874786377,0.5036302208900452,0.5171854496002197,0.6155743598937988,1.5382064580917358,0.9963818788528442,1.3827128410339355,1.6782742738723755,1.6669577360153198,1.0815855264663696,1.5759245157241821,1.8002328872680664,1.7386603355407715,1.1319267749786377,1.649422287940979,1.7932679653167725
48,Train/Low/low00385.png,identity,500,500,500,11.245669408002868,0.04677798547566558,13.299584852981532,0.09888943789653795,0.046798856883170446,13.297647549471233,0.09886090928580858,0.04677798547566558,13.299584852981532,0.09888943789653795,9.346060566172868,0.1297355456235523,3.9535242868086637,-0.03084610772701435,0.0,0.0,-0.20225869119167328,-0.15198104083538055,0.5039085745811462,0.5039654970169067,0.510297417640686,0.5059093832969666,1.9505255222320557,1.9093616008758545,1.800848126411438,1.7884191274642944,1.989690899848938,1.9890103340148926,1.9051475524902344,1.9286205768585205,1.9475665092468262,1.7314255237579346,1.2705508470535278,1.313144564628601
49,Train/Low/low00295.png,T026A_selected,500,500,500,11.524538767000195,0.015214540564102378,18.177411575672483,0.18266679776626482,0.015168308891425456,18.19062835829081,0.18617863721922498,0.015168308891425456,18.19062835829081,0.18617863721922498,16.36504450109727,0.21349163056057138,1.8255838571935392,-0.027312993341346403,-0.5,-0.2887710630893707,1.2980728149414062,0.5990142822265625,0.5103819966316223,0.5055131316184998,0.523576557636261,0.5403022766113281,1.4324802160263062,1.368798851966858,0.7466251254081726,0.9584546685218811,1.549075961112976,1.4513858556747437,0.8184730410575867,1.0566096305847168,1.6323668956756592,1.5082008838653564,0.8498548269271851,1.1049847602844238
50,Train/Low/low00331.png,identity,500,500,500,11.563662600994576,0.062046592788065055,12.0728206225502,0.053648201729313436,0.062056574369955694,12.07212201895379,0.053641080001195204,0.062046592788065055,12.0728206225502,0.053648201729313436,10.04121753415211,0.0752121667646597,2.0316030883980893,-0.021563965035346258,0.0,0.0,-0.15162590146064758,-0.06883620470762253,0.5025716423988342,0.5026413202285767,0.5037434697151184,0.5039334297180176,1.5643117427825928,1.408748745918274,1.382214069366455,1.501412034034729,1.9884426593780518,1.9716570377349854,1.927839994430542,1.9458138942718506,1.9832662343978882,1.9769471883773804,1.846539855003357,1.9058741331100464
51,Train/Low/low00124.png,T026A_selected,500,500,500,11.263708959973883,0.00799680613555818,20.970834323406038,0.469018164516418,0.007808011730171767,21.07459542889387,0.4727736723439704,0.007808011730171767,21.07459542889387,0.4727736723439704,15.379345743569191,0.5380882879897151,5.6952496853246775,-0.0653146156457447,1.409960150718689,1.7518582344055176,1.8227781057357788,1.5785675048828125,0.5015819668769836,0.5049566626548767,0.5028399229049683,0.503578245639801,1.621822714805603,1.3934316635131836,1.4455790519714355,1.5575200319290161,1.6055233478546143,1.4158720970153809,1.4365379810333252,1.5938478708267212,1.6060640811920166,1.4726053476333618,1.4664157629013062,1.6831854581832886
52,Train/Low/low00196.png,T026A_selected,500,500,500,11.485719855001662,0.00406305008594791,23.911478240145367,0.3895987203371216,0.003943759899934767,24.040895332104228,0.39817847018419644,0.003943759899934767,24.040895332104228,0.39817847018419644,17.979762491707117,0.47988540744368785,6.061132840397111,-0.08170693725949141,1.514466404914856,1.8006064891815186,1.7463432550430298,1.472743034362793,0.5059137344360352,0.5030345916748047,0.5098828077316284,0.5035026669502258,1.443033218383789,1.4501609802246094,1.3133792877197266,1.5783629417419434,1.5299354791641235,1.4619706869125366,1.4040881395339966,1.6312801837921143,1.6245033740997314,1.4973042011260986,1.4917893409729004,1.6390208005905151
53,Train/Low/low00627.png,T026A_selected,496,500,496,11.585787696007174,0.004008914577676616,23.9697319763796,0.5872324958451041,0.004008629071370123,23.970041282618368,0.5877154836280154,0.004008629071370123,23.970041282618368,0.5877154836280154,22.048508436950883,0.6347742815121099,1.9215328456674854,-0.047058797884094505,1.5134321451187134,1.7605359554290771,1.729305386543274,1.589245319366455,0.6220895051956177,0.6414093971252441,0.5785292387008667,0.6055467128753662,1.461838722229004,1.3296326398849487,1.230530858039856,1.3722914457321167,1.5403907299041748,1.416741132736206,1.3019275665283203,1.442917823791504,1.5000147819519043,1.3777554035186768,1.2781660556793213,1.4257668256759644
54,Train/Low/low00057.png,T026A_selected,500,500,500,11.24227244197391,0.0022782693398768995,26.42394934379972,0.7196825546714521,0.002157587185698507,26.660316459011767,0.7250994721190102,0.002157587185698507,26.660316459011767,0.7250994721190102,23.44781861517221,0.7417628503002508,3.2124978438395573,-0.01666337818124064,1.4970636367797852,1.7319910526275635,1.7596027851104736,1.4409458637237549,0.5093117356300354,0.5059450268745422,0.5057066082954407,0.5103548169136047,1.2970954179763794,1.1812423467636108,1.15714430809021,1.3090622425079346,1.3184781074523926,1.2147103548049927,1.1944472789764404,1.3544021844863892,1.326416254043579,1.2421461343765259,1.1884772777557373,1.3710376024246216
55,Train/Low/low00165.png,T026A_selected,500,500,500,11.608019085018896,0.007671893174076859,21.15097453052193,0.4291187338593336,0.007599847158546254,21.19195141780713,0.4305696484728577,0.007599847158546254,21.19195141780713,0.4305696484728577,15.698776323899414,0.48091660477135034,5.493175093907714,-0.05034695629849262,1.8518612384796143,1.84059476852417,1.8755614757537842,1.6899197101593018,0.5133075714111328,0.5030912160873413,0.5034950375556946,0.5035911202430725,1.4451740980148315,1.4750357866287231,1.447964072227478,1.611812710762024,1.5164587497711182,1.5147874355316162,1.5655627250671387,1.6644772291183472,1.5425732135772705,1.5368502140045166,1.4444630146026611,1.429702877998352
