index,low,delta_psnr,delta_ssim,selected_step,ev_lower,ev_upper,ev_either,gamma_lower,gamma_upper,gamma_either
73,Train/Low/low00398.png,-0.002238909539517664,-0.00040912665679868065,80,0.0,0.25,0.25,0.0,1.0,1.0
74,Train/Low/low00659.png,-0.0017985228516828045,-0.009570449897991384,80,0.0,0.0,0.0,1.0,0.0,1.0
75,Train/Low/low00464.png,-1.6535557447416025,-0.028155423694899984,80,0.0,0.0,0.0,0.75,0.0,0.75
76,Train/Low/low00405.png,0.008084134622469819,0.0002041480959550368,75,0.0,0.25,0.25,0.25,0.5,0.75
77,Train/Low/low00650.png,-0.0609933905532003,-0.0036832276086695703,74,0.5,0.25,0.5,1.0,0.25,1.0
78,Train/Low/low00621.png,-0.11869112363966927,-0.0068207937565426535,80,0.0,0.0,0.0,0.75,0.0,0.75
79,Train/Low/low00596.png,0.077150014594209,0.0040207068915820154,80,0.0,0.0,0.0,1.0,0.0,1.0
80,Train/Low/low00378.png,0.0492396948665883,0.00038864906304565683,72,0.25,0.25,0.5,0.0,0.5,0.5
81,Train/Low/low00058.png,0.04706639950415159,-0.004648796515388798,80,0.0,0.0,0.0,0.75,0.0,0.75
82,Train/Low/low00092.png,-0.12678992663657151,-0.0163173880961045,80,0.0,0.0,0.0,0.75,0.0,0.75
83,Train/Low/low00266.png,0.18944949222398044,0.006385149860738848,80,0.0,0.0,0.0,1.0,0.0,1.0
84,Train/Low/low00180.png,0.16919775721520924,0.019815647609863693,80,0.25,0.0,0.25,0.5,0.0,0.5
85,Train/Low/low00679.png,0.3263186539352798,0.011450217527796125,80,0.0,0.0,0.0,1.0,0.0,1.0
86,Train/Low/low00408.png,0.009335102370033432,0.00021190387927468024,76,0.0,0.25,0.25,0.25,0.75,1.0
87,Train/Low/low00623.png,0.35351570009209077,0.009851282862149091,80,0.0,0.0,0.0,1.0,0.0,1.0
88,Train/Low/low00646.png,-0.18673773487804013,-0.01893794587664066,80,0.0,0.0,0.0,1.0,0.0,1.0
89,Train/Low/low00104.png,0.034784960434652845,7.94267155729278e-06,80,0.0,0.0,0.0,1.0,0.0,1.0
90,Train/Low/low00399.png,-0.018465719387082302,-0.0002822928418768633,80,0.25,0.0,0.25,0.0,0.75,0.75
91,Train/Low/low00638.png,0.24484940011201317,0.008037951245724428,80,0.25,0.25,0.25,1.0,0.25,1.0
92,Train/Low/low00533.png,0.08026204111633195,-0.0006887696323867321,80,0.0,0.0,0.0,0.75,0.0,0.75
93,Train/Low/low00142.png,0.07572925362568572,0.002011260919753649,80,0.0,0.0,0.0,0.75,0.0,0.75
94,Train/Low/low00182.png,-0.07568981752308801,-0.0051633895719252615,80,0.0,0.0,0.0,0.25,0.25,0.5
95,Train/Low/low00477.png,0.26058991426523015,0.005024305658800909,80,0.0,0.0,0.0,1.0,0.0,1.0
96,Train/Low/low00036.png,0.18226472127358306,0.010309436114631643,80,0.0,0.0,0.0,1.0,0.0,1.0
97,Train/Low/low00594.png,0.02076949531894634,-0.01156506708171312,80,0.25,0.25,0.25,0.75,0.25,0.75
98,Train/Low/low00192.png,-0.04765538985846529,-0.005197321352094109,80,0.0,0.0,0.0,0.5,0.25,0.75
99,Train/Low/low00668.png,0.2977014514680345,0.003357659084566089,80,0.0,0.0,0.0,0.75,0.0,0.75
