image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,type,active
40036,evaluation,homogeneous_bright,full,-0.032676830887794495,0.004951581358909607,0.16774964332580566,bright,False
40036,evaluation,homogeneous_bright,top_left,-0.013641983270645142,0.012262865900993347,0.08213911950588226,bright,False
40036,evaluation,homogeneous_bright,top_right,-0.039630576968193054,0.02308236062526703,0.2957899272441864,bright,False
40036,evaluation,homogeneous_bright,bottom_left,-0.014972865581512451,-0.0032329410314559937,0.11249999701976776,bright,False
40036,evaluation,homogeneous_bright,bottom_right,-0.03834898769855499,0.005437061190605164,0.17998264729976654,bright,False
40036,evaluation,left_right,full,-0.022878497838974,-0.008388280868530273,0.11929583549499512,bright,False
40036,evaluation,left_right,top_left,0.03320293128490448,-0.002005279064178467,0.00019177126523572952,dark,True
40036,evaluation,left_right,top_right,-0.039630576968193054,0.02308236062526703,0.2957899272441864,bright,False
40036,evaluation,left_right,bottom_left,0.020016729831695557,-0.0191495418548584,0.00022663876006845385,dark,False
40036,evaluation,left_right,bottom_right,-0.03834898769855499,0.005437061190605164,0.17998264729976654,bright,False
40036,evaluation,quadrants,full,-0.023450076580047607,-0.007908657193183899,0.10231384634971619,bright,False
40036,evaluation,quadrants,top_left,0.03320293128490448,-0.002005279064178467,0.00019177126523572952,dark,True
40036,evaluation,quadrants,top_right,-0.039630576968193054,0.02308236062526703,0.2957899272441864,bright,False
40036,evaluation,quadrants,bottom_left,-0.014972865581512451,-0.0032329410314559937,0.11249999701976776,bright,False
40036,evaluation,quadrants,bottom_right,0.004743337631225586,-0.00016142427921295166,0.0003906250058207661,dark,False
40036,evaluation,smooth_gradient,full,-0.021799519658088684,-0.005492165684700012,0.06713639199733734,bright,False
40036,evaluation,smooth_gradient,top_left,0.009527653455734253,0.0037132352590560913,0.00019177126523572952,dark,False
40036,evaluation,smooth_gradient,top_right,-0.03840106725692749,0.01766522228717804,0.14384548366069794,bright,False
40036,evaluation,smooth_gradient,bottom_left,0.002753123641014099,-0.008258581161499023,0.00022663876006845385,dark,False
40036,evaluation,smooth_gradient,bottom_right,-0.03649602830410004,0.003333374857902527,0.12372396141290665,bright,False
