image_id,condition,method,mse,psnr_db,recovery_ratio,clean_drift_mse,dark_region_mse,bright_region_mse,loss_before,loss_after,active_count,steps,stop_reason,ev_min,ev_max,gamma_min,gamma_max
3255,left_right,global_discrete,0.06533210724592209,11.848733336896185,0.22669271071030872,,0.12280159443616867,0.007862629368901253,8.865548407689527,2.6150089641312206,3,0,one_coordinate_pass,-0.5,-0.5,0.8000000715255737,0.8000000715255737
3255,left_right,spatial2_discrete,0.07103274017572403,11.485414315585178,0.1592168372995999,,0.10510243475437164,0.036963045597076416,8.865548407689527,1.6941680924888396,3,0,one_coordinate_pass,-0.9999999403953552,0.5,0.8000000715255737,1.25
3255,left_right,global_ttt,0.04500672221183777,13.467226150807903,0.4672753134620067,,0.04911778122186661,0.04089566320180893,8.865548407689527,1.6409360228310912,3,40,max_updates,-0.19163478910923004,-0.19163478910923004,0.6243148446083069,0.6243148446083069
3255,left_right,spatial2_ttt,0.036905378103256226,14.329103408768917,0.563167344445,,0.06093784049153328,0.012872924096882343,8.865548407689527,0.7180245193883801,3,40,max_updates,-0.32644879817962646,0.17433468997478485,0.5807191133499146,1.5831776857376099
3255,quadrants,identity,0.09682241827249527,10.140240744602117,0.0,,0.13583038747310638,0.05781445652246475,6.072968943505246,6.072968943505246,3,0,identity,0.0,0.0,1.0,1.0
3255,quadrants,global_direct,0.09261264652013779,10.333297051226173,0.04347930807211997,,0.1549040824174881,0.030321208760142326,6.072968943505246,2.1949396752300903,3,0,fixed_direct,-0.1250000149011612,-0.1250000149011612,1.0,1.0
3255,quadrants,spatial2_direct,0.062100913375616074,12.069020122054999,0.35861018053855687,,0.11185655742883682,0.0123452702537179,6.072968943505246,0.13567700197026494,3,0,fixed_direct,-0.5,0.5,1.0,1.0
3255,quadrants,global_discrete,0.07821507751941681,11.067095199285667,0.19218008685457844,,0.14760544896125793,0.008824721910059452,6.072968943505246,2.9531416862980273,3,0,one_coordinate_pass,-0.5,-0.5,0.8000000715255737,0.8000000715255737
3255,quadrants,spatial2_discrete,0.06298407912254333,12.007692159915674,0.3494886799327602,,0.11211787909269333,0.013850285671651363,6.072968943505246,0.024065400664912917,3,0,one_coordinate_pass,-0.9999999403953552,0.5,0.8000000715255737,1.25
3255,quadrants,global_ttt,0.056384872645139694,12.48837396157624,0.4176465156400956,,0.05653034523129463,0.056239403784275055,6.072968943505246,0.6721334348900889,3,40,max_updates,-0.14840207993984222,-0.14840207993984222,0.6169949769973755,0.6169949769973755
3255,quadrants,spatial2_ttt,0.05818236246705055,12.352086484108364,0.399081705403152,,0.09870819747447968,0.017656520009040833,6.072968943505246,0.001547004242566504,3,40,max_updates,-0.6029792428016663,0.5076941251754761,0.6874927878379822,1.0506927967071533
