image_id,condition,method_a,method_b,mse_a_minus_b
1353,homogeneous_dark,global_direct,spatial2_discrete,0.010730794630944729
1353,homogeneous_dark,global_direct,global_ttt,0.007770591415464878
1353,homogeneous_dark,global_direct,spatial2_ttt,0.007409355603158474
1353,homogeneous_dark,spatial2_direct,global_discrete,0.01646114280447364
1353,homogeneous_dark,spatial2_direct,spatial2_discrete,0.012571394443511963
1353,homogeneous_dark,spatial2_direct,global_ttt,0.009611191228032112
1353,homogeneous_dark,spatial2_direct,spatial2_ttt,0.009249955415725708
1353,homogeneous_dark,global_discrete,spatial2_discrete,-0.0038897483609616756
1353,homogeneous_dark,global_discrete,global_ttt,-0.006849951576441526
1353,homogeneous_dark,global_discrete,spatial2_ttt,-0.0072111873887479305
1353,homogeneous_dark,spatial2_discrete,global_ttt,-0.0029602032154798508
1353,homogeneous_dark,spatial2_discrete,spatial2_ttt,-0.003321439027786255
1353,homogeneous_dark,global_ttt,spatial2_ttt,-0.0003612358123064041
1353,left_right,identity,global_direct,-0.0032609552145004272
1353,left_right,identity,spatial2_direct,6.066262722015381e-05
1353,left_right,identity,global_discrete,-0.04299616441130638
1353,left_right,identity,spatial2_discrete,-1.8719583749771118e-05
1353,left_right,identity,global_ttt,-0.01597341150045395
1353,left_right,identity,spatial2_ttt,-0.015111412853002548
1353,left_right,global_direct,spatial2_direct,0.003321617841720581
1353,left_right,global_direct,global_discrete,-0.039735209196805954
1353,left_right,global_direct,spatial2_discrete,0.003242235630750656
1353,left_right,global_direct,global_ttt,-0.012712456285953522
1353,left_right,global_direct,spatial2_ttt,-0.011850457638502121
1353,left_right,spatial2_direct,global_discrete,-0.043056827038526535
1353,left_right,spatial2_direct,spatial2_discrete,-7.938221096992493e-05
1353,left_right,spatial2_direct,global_ttt,-0.016034074127674103
1353,left_right,spatial2_direct,spatial2_ttt,-0.015172075480222702
1353,left_right,global_discrete,spatial2_discrete,0.04297744482755661
1353,left_right,global_discrete,global_ttt,0.027022752910852432
1353,left_right,global_discrete,spatial2_ttt,0.027884751558303833
1353,left_right,spatial2_discrete,global_ttt,-0.015954691916704178
1353,left_right,spatial2_discrete,spatial2_ttt,-0.015092693269252777
1353,left_right,global_ttt,spatial2_ttt,0.0008619986474514008
1353,quadrants,identity,global_direct,-0.004197742789983749
1353,quadrants,identity,spatial2_direct,0.002687564119696617
1353,quadrants,identity,global_discrete,-0.03492351062595844
1353,quadrants,identity,spatial2_discrete,-0.043417083099484444
1353,quadrants,identity,global_ttt,-0.011532464995980263
1353,quadrants,identity,spatial2_ttt,-0.010515080764889717
1353,quadrants,global_direct,spatial2_direct,0.0068853069096803665
1353,quadrants,global_direct,global_discrete,-0.030725767835974693
1353,quadrants,global_direct,spatial2_discrete,-0.039219340309500694
1353,quadrants,global_direct,global_ttt,-0.007334722205996513
1353,quadrants,global_direct,spatial2_ttt,-0.006317337974905968
1353,quadrants,spatial2_direct,global_discrete,-0.03761107474565506
1353,quadrants,spatial2_direct,spatial2_discrete,-0.04610464721918106
1353,quadrants,spatial2_direct,global_ttt,-0.01422002911567688
1353,quadrants,spatial2_direct,spatial2_ttt,-0.013202644884586334
1353,quadrants,global_discrete,spatial2_discrete,-0.008493572473526001
1353,quadrants,global_discrete,global_ttt,0.02339104562997818
1353,quadrants,global_discrete,spatial2_ttt,0.024408429861068726
1353,quadrants,spatial2_discrete,global_ttt,0.03188461810350418
