index,low,delta_psnr,delta_ssim,selected_step,selected_ev_active_lower_count,selected_ev_active_lower_denominator,selected_ev_active_upper_count,selected_ev_active_upper_denominator,selected_ev_active_either_count,selected_ev_active_either_denominator,selected_ev_inactive_lower_count,selected_ev_inactive_lower_denominator,selected_ev_inactive_upper_count,selected_ev_inactive_upper_denominator,selected_ev_inactive_either_count,selected_ev_inactive_either_denominator,selected_gamma_active_lower_count,selected_gamma_active_lower_denominator,selected_gamma_active_upper_count,selected_gamma_active_upper_denominator,selected_gamma_active_either_count,selected_gamma_active_either_denominator,selected_gamma_inactive_lower_count,selected_gamma_inactive_lower_denominator,selected_gamma_inactive_upper_count,selected_gamma_inactive_upper_denominator,selected_gamma_inactive_either_count,selected_gamma_inactive_either_denominator,final_ev_active_lower_count,final_ev_active_lower_denominator,final_ev_active_upper_count,final_ev_active_upper_denominator,final_ev_active_either_count,final_ev_active_either_denominator,final_ev_inactive_lower_count,final_ev_inactive_lower_denominator,final_ev_inactive_upper_count,final_ev_inactive_upper_denominator,final_ev_inactive_either_count,final_ev_inactive_either_denominator,final_gamma_active_lower_count,final_gamma_active_lower_denominator,final_gamma_active_upper_count,final_gamma_active_upper_denominator,final_gamma_active_either_count,final_gamma_active_either_denominator,final_gamma_inactive_lower_count,final_gamma_inactive_lower_denominator,final_gamma_inactive_upper_count,final_gamma_inactive_upper_denominator,final_gamma_inactive_either_count,final_gamma_inactive_either_denominator
15,Train/Low/low00501.png,1.0890855285206786,0.0863388085496718,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
16,Train/Low/low00133.png,0.464621120139876,0.03280524139963885,40,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
17,Train/Low/low00455.png,-2.3244753677431618e-08,-1.919199521527304e-10,35,1,4,0,4,1,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0
18,Train/Low/low00206.png,1.035686696544559,0.032770742668879915,20,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
19,Train/Low/low00314.png,0.10886855258733519,-0.00043125562564305664,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0
20,Train/Low/low00097.png,0.5593100979031416,0.042218669672288156,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
21,Train/Low/low00520.png,0.7228499699915449,0.07335393247044883,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
22,Train/Low/low00424.png,0.21436700184890078,-0.005086144166138423,34,1,4,1,4,2,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0,1,4,1,4,2,4,0,0,0,0,0,0,0,4,3,4,3,4,0,0,0,0,0,0
23,Train/Low/low00535.png,1.6472915149978675,0.09863016473358582,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
24,Train/Low/low00336.png,0.22404645316686,-0.001572425798646998,33,1,4,0,4,1,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0,1,4,0,4,1,4,0,0,0,0,0,0,0,4,1,4,1,4,0,0,0,0,0,0
25,Train/Low/low00554.png,0.9770849146267775,0.0767243825799086,40,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
