index,low,baseline_selected_step,common_selected_step,baseline_selected_psnr,common_selected_psnr,common_reference_best_psnr_step,common_reference_best_psnr,psnr_headroom,prior_psnr_loss,earlier_psnr_reaches_baseline,earliest_psnr_rescue_step,baseline_selected_ssim,common_selected_ssim,common_reference_best_ssim_step,common_reference_best_ssim,ssim_headroom,prior_ssim_loss,earlier_ssim_reaches_baseline,earliest_ssim_rescue_step
13,Train/Low/low00453.png,34,40,11.668195331378879,11.64193423415952,0,12.320398028157399,0.6784637939978797,True,True,0,0.1478177007627077,0.12854298510411616,2,0.17027956010649573,0.04173657500237957,True,True,0
14,Train/Low/low00463.png,34,40,11.910883985049301,11.93022782125616,0,12.32542978099255,0.39520195973639005,False,True,0,0.158507624759975,0.1314909394544244,0,0.17472816750411568,0.043237228049691295,True,True,0
15,Train/Low/low00383.png,34,40,8.673216133488685,9.438146002499039,0,9.728275661129267,0.290129658630228,False,True,0,0.21235724169569226,0.21565235209080358,0,0.24255094602479157,0.026898593933987996,False,True,0
16,Train/Low/low00158.png,40,40,12.256728725982025,13.92089601148755,40,13.92089601148755,0.0,False,True,20,0.31482353990601897,0.31666341607466597,30,0.3208602893498754,0.004196873275209456,False,True,24
17,Train/Low/low00018.png,40,40,11.304397230911702,13.851152588793848,40,13.851152588793848,0.0,False,True,20,0.5324775614334474,0.5637797713462517,40,0.5637797713462517,0.0,False,True,28
18,Train/Low/low00006.png,40,40,11.409587176173448,14.937258494468981,29,16.70217706826023,1.764918573791249,False,True,16,0.6384443479398435,0.7256801522873424,26,0.7482918694632094,0.022611717175866963,False,True,15
19,Train/Low/low00639.png,40,40,6.098090587162251,7.15993103027953,40,7.15993103027953,0.0,False,True,20,0.26765381769481444,0.2870830377354276,40,0.2870830377354276,0.0,False,True,23
20,Train/Low/low00400.png,40,40,7.4653849442524685,6.919001878666679,0,7.159274110311897,0.2402722316452186,True,False,,0.111244478307637,0.10353982174123577,0,0.11185103334586509,0.008311211604629318,True,True,0
21,Train/Low/low00082.png,40,40,6.412602921877961,6.657251900694314,28,6.769011709993242,0.11175980929892759,False,True,19,0.17192046751012272,0.18021547532181095,27,0.18695857323870865,0.0067430979168977,False,True,20
22,Train/Low/low00462.png,40,40,9.509729812853555,9.360202299159052,32,9.417889772368452,0.05768747320940015,True,False,,0.09060424240649484,0.09461799631678867,0,0.11810860313626365,0.02349060681947497,False,True,0
23,Train/Low/low00052.png,40,40,12.468756320847458,13.282370272510333,23,15.187357035427535,1.9049867629172024,False,True,14,0.5788236853275173,0.6147393134055346,23,0.6568391252606403,0.042099811855105695,False,True,14
24,Train/Low/low00583.png,40,40,10.927445122762961,11.126368938160386,30,11.51378442865963,0.38741549049924373,False,True,24,0.38225519839956124,0.3459008542501843,27,0.38375266137960046,0.03785180712941616,True,True,26
25,Train/Low/low00237.png,40,40,5.855622204612487,6.083283945449921,40,6.083283945449921,0.0,False,True,34,0.15880693886282488,0.1547389827699562,40,0.1547389827699562,0.0,True,False,
26,Train/Low/low00549.png,40,40,12.728129959892474,14.964806556264962,38,14.995239805655382,0.030433249390419803,False,True,18,0.5838160965390649,0.553745033710929,20,0.5617683337828245,0.008023300071895556,True,False,
27,Train/Low/low00231.png,40,40,6.943249526880838,7.600494825763264,34,7.62835652270923,0.02786169694596552,False,True,19,0.21195361502454227,0.2307418387788284,31,0.23443061631884418,0.0036887775400157863,False,True,21
28,Train/Low/low00031.png,40,40,5.514742768167357,5.721229504270745,38,5.72320540623076,0.0019759019600149585,False,True,21,0.09405837346769,0.09396109346008023,28,0.09797706100242673,0.004015967542346496,True,True,21
29,Train/Low/low00144.png,40,40,9.03998207839395,10.784932682630377,40,10.784932682630377,0.0,False,True,19,0.36088786167178993,0.38357647429514374,34,0.3858536058819843,0.002277131586840564,False,True,23
30,Train/Low/low00161.png,40,40,7.5762229012401585,8.20685399506505,32,8.31046738514971,0.10361339008466075,False,True,18,0.17537808226506954,0.19477347956841803,32,0.19776382777471987,0.0029903482063018405,False,True,20
31,Train/Low/low00108.png,40,40,5.85284236978428,5.90675180896703,27,5.958108576735011,0.051356767767980926,False,True,19,0.09248233098711116,0.09043620460546122,26,0.09547455435555383,0.0050383497500926105,True,True,20
32,Train/Low/low00039.png,40,40,19.51666477463308,19.263198738232536,25,25.83250045698538,6.569301718752843,True,True,19,0.80645722382703,0.7575571470268501,23,0.8090953238150286,0.051538176788178514,True,True,21
33,Train/Low/low00559.png,40,40,20.13575291332962,14.521284323945387,19,20.87022850089575,6.348944176950361,True,True,17,0.7221431833208637,0.6036042709511432,14,0.7151258270786576,0.11152155612751435,True,False,
34,Train/Low/low00669.png,40,40,11.320534123725148,15.868962355705843,40,15.868962355705843,0.0,False,True,15,0.5552482037596597,0.5909772653203457,34,0.5917633446575024,0.0007860793371566865,False,True,16
35,Train/Low/low00532.png,40,40,6.583012495268031,9.007855094348972,40,9.007855094348972,0.0,False,True,15,0.3994572899364422,0.482673894946187,40,0.482673894946187,0.0,False,True,15
36,Train/Low/low00044.png,40,40,7.349820335359947,8.938759483818735,37,8.945848121146923,0.0070886373281879855,False,True,11,0.4354895382237823,0.5021873151484938,25,0.5196091728391803,0.017421857690686493,False,True,10
37,Train/Low/low00480.png,40,40,8.594545954474828,8.32527411450548,20,8.514340917823406,0.18906680331792636,True,False,,0.5004368431520713,0.4659186274003064,19,0.4885879352882641,0.022669307887957735,True,False,
38,Train/Low/low00452.png,29,40,8.559340936404052,8.50613351153381,40,8.50613351153381,0.0,True,False,,0.09980846102175517,0.10187819182865648,0,0.1101753016884793,0.008297109859822821,False,True,0
39,Train/Low/low00307.png,36,40,7.578502494808901,7.5728793602917435,0,8.694291705755465,1.121412345463721,True,True,0,0.19051369559355782,0.1776482171154532,0,0.21201443966859035,0.03436622255313715,True,True,0
40,Train/Low/low00143.png,40,40,8.523487405116438,9.557308898498748,35,9.59303289787908,0.035723999380332216,False,True,18,0.2999832078651653,0.3225744918729447,36,0.323386730613323,0.0008122387403783349,False,True,22
41,Train/Low/low00205.png,40,40,5.507265829728624,5.824207971732491,31,5.861540946430127,0.037332974697635635,False,True,18,0.11170786473286466,0.1138757860568132,28,0.11752574303908582,0.0036499569822726202,False,True,20
42,Train/Low/low00255.png,40,40,11.363903988779606,13.229052206412158,40,13.229052206412158,0.0,False,True,19,0.412744102839442,0.4538471130369107,32,0.46232881832423,0.008481705287319286,False,True,19
43,Train/Low/low00048.png,40,40,15.006417245991852,20.41122344924348,28,20.71182552247325,0.30060207322977206,False,True,16,0.6286023924580989,0.6743002973676907,24,0.6840129501495864,0.009712652781895703,False,True,16
44,Train/Low/low00170.png,40,40,9.440403518286438,10.94087165574991,34,10.969997979573316,0.029126323823405187,False,True,18,0.29610102605559924,0.3205457977567796,30,0.3322268130854314,0.01168101532865179,False,True,20
45,Train/Low/low00357.png,39,40,13.497637132119433,13.542130261400105,0,14.01896518456283,0.47683492316272513,False,True,0,0.1768656958835355,0.15592425644211794,5,0.1873193526138642,0.03139509617174627,True,True,0
46,Train/Low/low00238.png,40,40,7.6338368808414465,8.465087262305646,40,8.465087262305646,0.0,False,True,28,0.2559288082519005,0.27009217961751975,40,0.27009217961751975,0.0,False,True,32
47,Train/Low/low00546.png,40,40,8.409033111947062,9.61775945334876,40,9.61775945334876,0.0,False,True,16,0.363842726202608,0.38032980408618994,23,0.392576911399995,0.012247107313805072,False,True,15
48,Train/Low/low00225.png,40,40,14.559431646120384,17.135814046695547,40,17.135814046695547,0.0,False,True,18,0.5490474969561651,0.5193249579751748,21,0.5288635422128165,0.009538584237641756,True,False,
49,Train/Low/low00015.png,40,40,4.970489478378956,5.827143757241002,40,5.827143757241002,0.0,False,True,19,0.20299809580645226,0.22537574359271764,40,0.22537574359271764,0.0,False,True,20
50,Train/Low/low00256.png,40,40,11.307023548397941,11.367238865518676,24,11.651146516273235,0.2839076507545588,False,True,16,0.13336158133987322,0.133548751835367,23,0.15386048065868307,0.020311728823316083,False,True,16
51,Train/Low/low00073.png,40,40,9.200281599493964,11.071322158915143,40,11.071322158915143,0.0,False,True,21,0.3211106448562765,0.36312389188017435,36,0.36443213621509696,0.0013082443349226036,False,True,23
52,Train/Low/low00096.png,40,40,9.309210397655963,12.61769778192759,40,12.61769778192759,0.0,False,True,16,0.4764101924019941,0.5603111124797734,40,0.5603111124797734,0.0,False,True,17
53,Train/Low/low00379.png,35,40,7.489416876673904,6.645414012769896,0,8.330283582246793,1.6848695694768967,True,True,0,0.15925577507017946,0.13341361417895264,0,0.1798358979156913,0.04642228373673865,True,True,0
54,Train/Low/low00591.png,40,40,10.821284802383852,9.263604574324402,4,15.562279719233006,6.298675144908604,True,True,0,0.7761225943336032,0.7207555112476036,3,0.9110758995053139,0.19032038825771025,True,True,0
55,Train/Low/low00439.png,38,36,9.04400435575597,9.044144208718919,0,9.408663749756872,0.3645195410379536,False,True,0,0.1093726098488254,0.09553555965007823,2,0.12287253054936312,0.027336970899284885,True,True,0
56,Train/Low/low00367.png,37,40,11.495993567436159,11.452064842973918,0,11.895752651313398,0.4436878083394795,True,True,0,0.18719723379198142,0.17706177877980736,5,0.188595159564862,0.011533380785054642,True,True,4
57,Train/Low/low00271.png,40,40,11.169551025289564,12.87113669041439,40,12.87113669041439,0.0,False,True,0,0.16791995680534313,0.2069603092411647,0,0.23726001531753108,0.030299706076366367,False,True,0
58,Train/Low/low00151.png,40,40,8.363703588667242,9.469008948176459,31,9.852608363565,0.3835994153885416,False,True,18,0.4602597369664058,0.4614666614986401,28,0.47539306619066235,0.013926404692022276,False,True,21
59,Train/Low/low00567.png,40,40,14.63763125461901,19.06764863776499,37,19.107621922248,0.039973284483011184,False,True,20,0.5017584844377009,0.5240164139710771,35,0.5250907484977537,0.0010743345266766013,False,True,20
60,Train/Low/low00530.png,40,40,7.2693754856045745,7.609529572664503,11,7.689486626346719,0.07995705368221628,False,True,4,0.12568087388523738,0.15834430660115045,26,0.16357684065836178,0.00523253405721133,False,True,5
61,Train/Low/low00348.png,40,40,11.349704602747925,12.846490890183304,15,12.993984828729044,0.14749393854573967,False,True,0,0.2014489416988822,0.266637930870129,5,0.27955501406620104,0.012917083196072043,False,True,0
62,Train/Low/low00670.png,40,40,12.149947625152997,15.238156515742194,40,15.238156515742194,0.0,False,True,17,0.4227079087128179,0.5304856255149574,40,0.5304856255149574,0.0,False,True,18
63,Train/Low/low00397.png,40,40,6.72586670175958,6.572832336264678,0,7.354093972462554,0.7812616361978755,True,True,0,0.0825709726056163,0.07489908163680935,0,0.09212562367894055,0.0172265420421312,True,True,0
64,Train/Low/low00085.png,40,40,5.733407562626155,6.077211674341934,34,6.079613644166436,0.002401969824501471,False,True,19,0.1307491154751987,0.14017251479636256,31,0.1423889468354189,0.002216432039056332,False,True,21
65,Train/Low/low00527.png,40,40,8.617421188523199,9.367481616698415,30,9.855222950543608,0.487741333845193,False,True,16,0.28634855772340945,0.3077407125160682,40,0.3077407125160682,0.0,False,True,14
66,Train/Low/low00689.png,40,40,10.008122847504964,10.78125214607243,31,10.934360995539642,0.15310884946721082,False,True,17,0.38488052942166584,0.4206336822751414,39,0.42079908788503867,0.00016540560989725117,False,True,17
67,Train/Low/low00645.png,40,40,11.054307303332473,14.137632825401523,33,14.46600170372611,0.3283688783245875,False,True,20,0.6053865964043579,0.6279460706703691,29,0.6316506546076582,0.0037045839372891187,False,True,21
68,Train/Low/low00634.png,40,40,10.243040534026157,11.061664154148021,25,12.033466803440762,0.9718026492927407,False,True,14,0.49278640083497977,0.49837283971365137,22,0.5233662704454539,0.024993430731802546,False,True,14
69,Train/Low/low00359.png,35,40,7.877507205198805,8.08307186522908,0,8.2110591541686,0.12798728893952038,False,True,0,0.09060856418363337,0.08095767192604424,1,0.10139645182266017,0.02043877989661594,True,True,0
70,Train/Low/low00063.png,40,40,7.70147377717035,8.5705193578154,40,8.5705193578154,0.0,False,True,25,0.40306734966804636,0.42215627948159373,40,0.42215627948159373,0.0,False,True,30
71,Train/Low/low00611.png,40,40,14.129986044065985,17.427402779793436,27,20.109275701381893,2.6818729215884574,False,True,15,0.551312042881631,0.5723472932575049,21,0.5922302808285609,0.019882987571056,False,True,15
72,Train/Low/low00504.png,40,40,13.44646196172385,12.791384511239762,29,12.822257803252358,0.030873292012595144,True,False,,0.43933824285556267,0.3843318621166651,27,0.38641265582555634,0.0020807937088912487,True,False,
73,Train/Low/low00565.png,40,40,18.70003589711129,17.091883953890083,21,21.372560359276342,4.280676405386259,True,True,17,0.5502691749074243,0.528316432729704,19,0.5622905105556099,0.03397407782590589,True,True,16
74,Train/Low/low00682.png,40,40,11.372560103884375,14.235204292464477,40,14.235204292464477,0.0,False,True,18,0.3667818138969045,0.43833787991332324,40,0.43833787991332324,0.0,False,True,19
