seed,family,condition,model,loss_before,loss_after,mse,psnr_db,left_mse,right_mse,top_left_mse,top_right_mse,bottom_left_mse,bottom_right_mse,input_output_drift_mse,identity_drift_mse,parameter_count,input_clipping_fraction,output_clipping_fraction,all_finite,field_variance_exposure_ev,field_variance_gamma,field_variance_wb_r,field_variance_wb_g,field_variance_wb_b,field_variance_contrast,lambda_a,lambda_s,gradient_norm_last_update,gradient_norm_max,correction_grid_tv,prior_before,prior_after,anchor_before,anchor_after,smooth_before,smooth_after,normalized_grid_variance_exposure_ev,normalized_grid_variance_gamma,normalized_grid_variance_wb_r,normalized_grid_variance_wb_g,normalized_grid_variance_wb_b,normalized_grid_variance_contrast
7,midtone,homogeneous_dark,a0_s0.01,0.07562145590782166,3.804921652772464e-05,0.001132360310293734,29.46015361244853,0.0011325484374538064,0.0011321725323796272,0.0011312155984342098,0.00113066122867167,0.0011338802287355065,0.0011336837196722627,0.07574126124382019,,96,0.0,0.0,True,4.692543814486786e-07,9.672736981728435e-08,2.8034739130625445e-06,1.3996492090356902e-06,1.0812967723502173e-06,6.541689387727133e-08,0.0,0.01,0.0029042214155197144,0.060704171657562256,0.0037775440141558647,0.07562145590782166,2.737768909355509e-07,0.0,0.0998370572924614,0.0,0.0037775440141558647,2.085469529532328e-07,8.18807120162008e-07,7.926419539391209e-06,3.98415944045939e-06,3.90490760701288e-06,6.237782262802395e-07
7,midtone,homogeneous_dark,a0_s0.1,0.07562145590782166,0.00074870785465464,0.0009916166309267282,30.036561980607928,0.0009908329229801893,0.0009924001060426235,0.0009931325912475586,0.00098663370590657,0.000988533953204751,0.000998166506178677,0.07592685520648956,,96,0.0,0.0,True,2.0803472246566746e-05,2.313541058037473e-06,3.3229808674921964e-06,2.8643882585660984e-06,3.317789755370656e-06,1.372539403316181e-06,0.0,0.1,0.027728287503123283,0.060704171657562256,0.007469090633094311,0.07562145590782166,1.7987794080909225e-06,0.0,0.0813932716846466,0.0,0.007469090633094311,8.876293181688685e-06,1.5600301874859385e-05,9.545111405523372e-06,8.466393654704708e-06,1.0182708117853495e-05,9.064526779845044e-06
7,midtone,homogeneous_dark,a0_s1,0.07562145590782166,0.008182037621736526,0.0005349612911231816,32.71677641641944,0.0005372535088099539,0.000532669248059392,0.0005379962385632098,0.0005369496066123247,0.0005365107208490372,0.0005283884238451719,0.07681615650653839,,96,0.0,0.0,True,1.6214643897917415e-05,8.210921156184639e-07,4.7016787110745615e-06,2.8526064488373735e-06,4.7693398538954145e-06,3.188138949808981e-06,0.0,1.0,0.2998339831829071,0.3335038423538208,0.008177993819117546,0.07562145590782166,4.043564786115894e-06,0.0,0.055014703422784805,0.0,0.008177993819117546,8.080751324798077e-06,5.324493987921007e-06,1.2766582382861564e-05,9.745504062594841e-06,1.61988581942607e-05,1.89243267746447e-05
7,midtone,homogeneous_dark,a0.1_s0.1,0.07562145590782166,0.005090595688670874,0.00032481420203112066,34.88364990117731,0.0003337031521368772,0.00031592525192536414,0.00034325988963246346,0.00031420926097780466,0.0003241465019527823,0.0003176413010805845,0.0698382556438446,,96,0.0,0.0,True,6.718318472431175e-06,1.2999012963532768e-06,6.3268012570398156e-06,2.698333865616866e-06,2.7833933545502467e-06,2.786746348024702e-06,0.1,0.1,0.028476832434535027,0.060704171657562256,0.007758548483252525,0.07562145590782166,0.0001607078011147678,0.0,0.04154032841324806,0.0,0.007758548483252525,3.3355035046721135e-06,6.773280730661652e-06,2.082988744336532e-05,9.434632499076553e-06,1.4521332413776832e-05,9.84130972403113e-06
7,midtone,homogeneous_dark,a1_s0.1,0.07562145590782166,0.03202023357152939,0.011410783976316452,19.426845164151146,0.011411463841795921,0.011410105973482132,0.011274388991296291,0.011504188179969788,0.011548535898327827,0.011316018179059029,0.02968471869826317,,96,0.0,0.0,True,1.235622847837814e-05,2.2510493107548064e-06,5.324308645789671e-06,2.843001658356307e-06,3.912986534359488e-06,2.428111923356983e-06,1.0,0.1,0.029789073392748833,0.060704171657562256,0.00774766830727458,0.07562145590782166,0.010763523168861866,0.0,0.02048194222152233,0.0,0.00774766830727458,7.213073061382329e-06,1.011292946165222e-05,1.6063492203106586e-05,9.740269191463448e-06,1.567608183614101e-05,1.1950511771691152e-05
7,midtone,homogeneous_dark,a1_s1,0.07562145590782166,0.03981855511665344,0.011372051201760769,19.441611936006503,0.011398185044527054,0.011345918290317059,0.011472780257463455,0.011446423828601837,0.011323591694235802,0.011245407164096832,0.029757879674434662,,96,0.0,0.0,True,3.0097944546448783e-05,1.2069231339327207e-06,2.922913948862191e-06,2.3999447022777623e-06,4.121009096786274e-06,2.563404626572202e-06,1.0,1.0,0.30417102575302124,0.345595121383667,0.00857006199657917,0.07562145590782166,0.010716436430811882,0.0,0.02053205855190754,0.0,0.00857006199657917,1.6571508387599336e-05,6.601786120787577e-06,9.227305608832188e-06,1.0262749236100702e-05,1.542932581162829e-05,1.1562550359570916e-05
7,midtone,homogeneous_bright,identity,0.07547680288553238,0.07547680288553238,0.07738085836172104,11.113664570948547,0.07739735394716263,0.07736429572105408,0.07737073302268982,0.07738859951496124,0.07742408663034439,0.0773400291800499,0.0,,0,0.0173068568110466,0.0173068568110466,True,0.0,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,0.0,0.0,0.0,0.0,0.0,0.07547680288553238,0.07547680288553238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,homogeneous_bright,global,0.07547680288553238,2.2240834596232162e-07,0.00033326190896332264,34.772143223202676,0.0003333525382913649,0.00033317148336209357,0.0003327194426674396,0.00033295349567197263,0.0003339851973578334,0.0003333896165713668,0.07929962128400803,,6,0.0173068568110466,0.0,True,7.901911519951101e-17,5.294697534090941e-16,3.7315829448262025e-16,3.8105781935649063e-16,3.8462523720469127e-16,2.9576884574428275e-16,0.0,0.0,5.4140145948622376e-06,0.6271526217460632,-0.0,0.07547680288553238,2.2240834596232162e-07,0.0,0.059224218130111694,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,midtone,homogeneous_bright,a0_s0,0.07547680288553238,1.8756162489808048e-07,0.0003335392102599144,34.7685310388075,0.0003312729822937399,0.0003358053509145975,0.00032957695657387376,0.00033483808510936797,0.00033296929905191064,0.00033677267492748797,0.07930043339729309,,96,0.0173068568110466,0.0,True,7.479851394305538e-07,2.254473126174211e-06,1.9354943010474683e-07,1.75815101615972e-07,1.614315566351755e-07,4.8032191370866975e-06,0.0,0.0,1.3575566981671727e-06,0.15679435431957245,0.002886401955038309,0.07547680288553238,1.8756162489808048e-07,0.0,0.05923774465918541,0.0,0.002886401955038309,2.3509732310563992e-07,5.240717168123612e-06,1.2631954245355376e-06,8.270988496794273e-07,1.1550545903063108e-06,2.1442208592539074e-05
7,midtone,homogeneous_bright,a0.01_s0,0.07547680288553238,0.00018297033966518939,5.901047188672237e-06,52.290709124414924,6.2875988078303635e-06,5.514493750524707e-06,6.4983305492205545e-06,5.414027782535413e-06,6.076864337956067e-06,5.614961082756054e-06,0.0770077034831047,,96,0.0173068568110466,0.0,True,1.4073930164586056e-07,8.119999461185301e-07,3.151338170252378e-07,2.976559955166341e-07,2.5758388484851643e-07,3.732988180308796e-06,0.01,0.0,0.00015598688332829624,0.15679435431957245,0.0022351474035531282,0.07547680288553238,1.1051574801967945e-06,0.0,0.018186518922448158,0.0,0.0022351474035531282,6.060823309807697e-08,1.790677218737464e-06,1.335338351919058e-06,1.0438481445156095e-06,1.16443561130517e-06,1.0803652181843467e-05
7,midtone,homogeneous_bright,a0.1_s0,0.07547680288553238,0.0013702744618058205,6.304901762632653e-05,42.00321675828239,6.134143768576905e-05,6.475659756688401e-05,6.239424692466855e-05,6.327948358375579e-05,6.0288686654530466e-05,6.623368244618177e-05,0.07376750558614731,,96,0.0173068568110466,0.0,True,5.263678535666784e-07,2.795927234490761e-07,3.750387020248243e-08,4.713176331263582e-08,2.7969794091279512e-08,3.6016558136141407e-07,0.1,0.0,4.971677753928816e-07,0.15679435431957245,0.001006071805022657,0.07547680288553238,3.516352080623619e-05,0.0,0.013351109810173512,0.0,0.001006071805022657,1.866997099385372e-07,6.307183578553533e-07,1.7535212517948215e-07,1.7955301039214306e-07,1.5247898656981704e-07,8.972784251304261e-07
7,midtone,homogeneous_bright,a1_s0,0.07547680288553238,0.011252373456954956,0.002246177988126874,26.48555833026186,0.0022267692256718874,0.0022655867505818605,0.0022292404901236296,0.002255277941003442,0.002224298194050789,0.0022758962586522102,0.05331861972808838,,96,0.0173068568110466,0.0,True,8.773095960603415e-07,1.5271441363954803e-07,5.801815204221859e-09,6.307926166341658e-09,4.197617847044852e-09,2.1003182330042197e-07,1.0,0.0,9.11214897314494e-07,0.15679435431957245,0.0005367573467083275,0.07547680288553238,0.0021415865048766136,0.0,0.009110786952078342,0.0,0.0005367573467083275,2.904525865064795e-07,3.4988499706691404e-07,1.8691314094090345e-08,1.9493835609965812e-08,1.45011701325247e-08,5.315904374037402e-07
7,midtone,homogeneous_bright,a10_s0,0.07547680288553238,0.045019496232271194,0.02905680052936077,15.36752207964393,0.02895764820277691,0.02915596030652523,0.028933929279446602,0.029124140739440918,0.028981365263462067,0.029187768697738647,0.011603740975260735,,96,0.0173068568110466,0.0,True,7.164733649984525e-07,2.145356639318187e-08,2.5446274512239028e-09,2.542993902110642e-09,2.3569234668986225e-09,3.652742635569528e-08,10.0,0.0,2.639873855514452e-06,0.15679435431957245,0.0002726230304688215,0.07547680288553238,0.02831675298511982,0.0,0.0016702743014320731,0.0,0.0002726230304688215,2.2281202250221705e-07,5.208038486254951e-08,6.803900260852999e-09,6.749349863149023e-09,6.301568451860722e-09,9.344460749952252e-08
7,midtone,homogeneous_bright,a0_s0.01,0.07547680288553238,3.079617818002589e-05,0.0003283949044998735,34.83603590178528,0.0003274017944931984,0.00032938810181804,0.00032706657657399774,0.0003282949037384242,0.00032773686689324677,0.0003304812125861645,0.07928679883480072,,96,0.0173068568110466,0.0,True,2.3303179318498446e-07,9.93880773029155e-07,3.6898410873010353e-07,3.0358181631634446e-07,2.710454243973694e-07,1.2036193354507295e-07,0.0,0.01,0.0031265374273061752,0.15679435431957245,0.0030442732386291027,0.07547680288553238,3.534454151576938e-07,0.0,0.0589606948196888,0.0,0.0030442732386291027,1.0760354692603506e-07,3.679218811582868e-06,1.5158143201986064e-06,1.6757991357363501e-06,2.0973537755673797e-06,1.0051916967540585e-06
7,midtone,homogeneous_bright,a0_s0.1,0.07547680288553238,0.0007583691622130573,0.00012295469059608877,39.10254898717529,0.00012333650374785066,0.0001225729356519878,0.00011994779924862087,0.00011573391384445131,0.00012672510638367385,0.00012941194290760905,0.07849927991628647,,96,0.0173068568110466,0.0,True,1.8501187297772718e-05,5.081294091345219e-06,2.2931164103433005e-06,1.3964340031630122e-06,2.5115848240310313e-06,2.402675689230944e-06,0.0,0.1,0.03167841210961342,0.15679435431957245,0.007557958364486694,0.07547680288553238,2.573301571828779e-06,0.0,0.04299135506153107,0.0,0.007557958364486694,9.294773254439626e-06,1.9226068969962352e-05,1.209007454813435e-05,7.29119935238832e-06,1.0559270003914463e-05,1.1731832280592579e-05
