index,bank_index,state_index,image_id,state_name,condition,bank_directory,energy,gradient_norm,gradient_sha256,gradient_dtype,finite,active_regions,inactive_regions,active_rgb,inactive_rgb,inactive_output_changes,raw_sha256,y0_sha256
1047,61,20,38210,sobol_12,homogeneous_dark,training_bank/061,-1.724533200263977,0.14395519882033958,a128cd498efe17ca08c0189f467a6040137c4573c0de33eb15dc5699abf5fabf,torch.float32,True,1,3,114720,344160,0,4365e99e0b0065cf6f0997367e8ebb38e25f6c3b947a1dce8e04668c6551f5a4,cf627f7c7258cea8d084e06227564363a0e79fc6d1b004e0763ef5a19a8d6674
1048,61,21,38210,sobol_13,homogeneous_dark,training_bank/061,-2.206800937652588,0.0971421374308217,6c655c3d60129f2f93fc0cb9adcd0de2fe21608a60a44439f43703c4c8ba7bd1,torch.float32,True,1,3,114720,344160,0,f5b9f818412045bb3572c06c329320c5d3fa75ebb072d575b854f059a51af61b,99d1a57e784b7c3a7aecc1d8343e4b7cf041053b568b92b4153e4f0d38faf723
1049,61,22,38210,sobol_14,homogeneous_dark,training_bank/061,-2.2707672119140625,0.06954401808716619,5a259adb25f0bbf6015c4251015f6d20450fe0a94a22805cf44c6a6824019950,torch.float32,True,1,3,114720,344160,0,33388303f7b99e07497d0655b05d67078af67311477b8c727eef0d33983c47e5,ae4f0cff994c28ccaf034a8c0772c60ffde945287770912003351fc64d787308
1050,61,23,38210,sobol_15,homogeneous_dark,training_bank/061,-1.8077940940856934,0.11894950781700694,474a40c8a8cd4529911110997d33bc0bf06ff62186a9923374c7e20485831c29,torch.float32,True,1,3,114720,344160,0,dd5b109c132f3fa074807362e553254d7067e24d262604ac7eeaf9c179e9807d,0d7fb8ab4b26b4a0afa66cfda36c57f2ab5b03c173371c869cb5b4f751a61ff0
1051,62,0,38210,identity,homogeneous_bright,training_bank/062,-3.0795257091522217,0.21572686000762148,a99d80d5b756ceadac832bb51bad203fe681c56bb4293c62919e79e09d873be4,torch.float32,True,2,2,229440,229440,0,17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1,a2eac8a61c5fdb13eced08c2db7e15eee42a63817bb081c217caf831608306e9
1052,62,1,38210,region2_direct,homogeneous_bright,training_bank/062,-3.5636887550354004,0.12549364635933186,0650883b525f8355316b822957931807cac3d0c2676df6f5461dc23180d3620e,torch.float32,True,2,2,229440,229440,0,32360b1d11c38d159f4d1751932a77224006cc0ccc5b5052ec7033ff69394321,8a7c80ea5be4ef296645c4e632060bc03a740b3b0deadc6b16c891622d6f1ef3
1053,62,2,38210,region2_discrete_projected,homogeneous_bright,training_bank/062,-3.4818978309631348,0.11355633595877458,b98874ce5200cbd613f94e4ce1e6e5a1ace6ebcc811d1fe5423578360d698eaf,torch.float32,True,2,2,229440,229440,0,01da240488f6eb5525ba220cc82b1749a2efb02b197251f4bfb85ebdc227ce20,3bdbff968a2e5611c7a1e2d94b7cfe694d5fa818b209b5c683319bd24ddeefd6
1054,62,3,38210,semantic_1,homogeneous_bright,training_bank/062,-3.4742305278778076,0.4817740163146571,4aa541029b93384c94b19b5dbb5f1d29bc50b705dfbd86579dcef9e6a17f014e,torch.float32,True,2,2,229440,229440,0,7aef937cb28a6635e34dba64961ed48fd8b5062e0dfa3c1ce064c7e460819474,fde05076d10b25499cf70cac0ee3f4f6dd992f7655b4853693b56c12f495101f
1055,62,4,38210,semantic_4,homogeneous_bright,training_bank/062,-3.816911458969116,0.28563733364352684,799a07a6e438967f06a8a46e9b2e78343a580e32dddf3bbffe259d27888deef8,torch.float32,True,2,2,229440,229440,0,7c859e2bf70e8399306901cf6c4f5c8b54b6250b843cb0936e0194c53ea6b9d6,9badb5a4df27b0bf4a83c458c05c3f595ade1704430d6df35784f134a4cf02d2
1056,62,5,38210,semantic_8,homogeneous_bright,training_bank/062,-3.732271671295166,0.17616931975370656,9bb57f118a8dfea81966fd8df2802d47af8b0d1c55d2dba88dfb00bb64b78c04,torch.float32,True,2,2,229440,229440,0,d54948cee4bbcc0d4a8d385f8101932dfd1c86e34763e4b111e93e5d298dccb9,2c20d2908ef49ec342f8a39fa73e7fe713db4bd51730705576ffe2ac9d1c361f
1057,62,6,38210,semantic_16,homogeneous_bright,training_bank/062,-3.5007996559143066,0.11933084178145967,235f27a24193d0546d24ee46227a5ccc19c054deeb9b728ad25a9320066053c8,torch.float32,True,2,2,229440,229440,0,5730e96ce38e361e4848497e53611544b773d148b0ba94200019fa95bad0cca2,c1b2d73206a16d81adf5ca75028cdcf9802b1a21af213aa056bc55802d47a348
1058,62,7,38210,semantic_40,homogeneous_bright,training_bank/062,-3.4822580814361572,0.11408467948476995,74bf5e006e3a79a6c4db16133f0793c1a22ee3f1e83db6cc435480840027a1ba,torch.float32,True,2,2,229440,229440,0,254c97d2b6ba540c38610b9ca6526ce7fa824a95dab072df1e234fd9ff29499b,7d8b2e238b02c481a4cf0c073be4e050c64a20f81ad81aafceff078ac194d160
1059,62,8,38210,sobol_00,homogeneous_bright,training_bank/062,-3.6374013423919678,0.132021732884475,62d5aafd0ccf363bd7362b492dd064f60166c3a0116180f648101a2e6e2a85de,torch.float32,True,2,2,229440,229440,0,fd5766a88ca1cbfe7835fcf2d7c27d89241defe8dbad1beddfd07f714a24e56f,c5b7ebb35d63cfef42f79b139749f789c177166db27a66609f5526f8529e8b1d
1060,62,9,38210,sobol_01,homogeneous_bright,training_bank/062,-3.807483673095703,0.2561234098759691,ef7322a1fc67e7b79e37292e5b850528d53ee5e56c4efb1604a6ea7d612fb0f5,torch.float32,True,2,2,229440,229440,0,ba6251a347ba8dddd5edb3acd579ae4077b2a061b686a4320e214819b0a04489,d655a968b013a81cbba38620a3fe007f5d1da28e30e36b2f1bc83d56d2a3ca6d
1061,62,10,38210,sobol_02,homogeneous_bright,training_bank/062,-3.684816360473633,0.17503862159597022,17e4a24d4f90192f8cb324c919175575f0434bbc9d17d444c771bda1e457ecbf,torch.float32,True,2,2,229440,229440,0,2fe4076e459ae4299fc9aeb28d5988895a3c0444ff0ebbc2d7ce7f8f88a85a78,47cb4e11fa970f02eba9c10114284843d92e1ff57fb32144def1f319ada306e2
1062,62,11,38210,sobol_03,homogeneous_bright,training_bank/062,-3.7496867179870605,0.4279092356190805,3d21ba0d7067c30c47fbf668a8f30a7b57117c3e79237226a5a0d896837304bb,torch.float32,True,2,2,229440,229440,0,e37ed281438785446443c3ba5edd74c2036f26411b11df8ea34c95e97ce85d73,e6d234219c7c8b86e5b14c999ce9068971d867106adba5fa38ecaf3afffb88a4
1063,62,12,38210,sobol_04,homogeneous_bright,training_bank/062,-3.595015525817871,0.4510291238553399,a0e125012ddb49d1b781d5c602277d5c55ac4d4d248ccb02397020aa70f2d3a7,torch.float32,True,2,2,229440,229440,0,a9cfe127fda91a06fe4b36b04712a9fb2c1e10b027440c2e0b83a93e39089d55,59c22d9e59e374d1e4e5a5674d423c15e6a1268e91030ae46a08ca372a1cf857
1064,62,13,38210,sobol_05,homogeneous_bright,training_bank/062,-3.6581509113311768,0.17366249366789657,44d58e5599f61a6fcd588883793ecf14206a18382e09edadbc3836444fbd8c21,torch.float32,True,2,2,229440,229440,0,f913a632aa6ff500da5eb7e8702a5cb6aea22fde98fb4913a3be31e0fec723a4,2a605a874ccf3e3ef281fcc3e2c264bc9b983162e61eff209177a74b69e4df32
1065,62,14,38210,sobol_06,homogeneous_bright,training_bank/062,-3.602905035018921,0.3427994243893569,7e3f11f3eb92a8b7324d5f26e05189899e8eb45585029d22f79b53d4e0888c4e,torch.float32,True,2,2,229440,229440,0,9e955fb0b61efd913f185f9943ac244f837d95a720c91370f99a20024632f6f3,be5c92642990145258fc82c73051c15a7eb9de57a17315b5b6783b816f5bb76d
1066,62,15,38210,sobol_07,homogeneous_bright,training_bank/062,-3.687161922454834,0.15509257994386558,3afd90ea2e4afd165e5d33d5226d1302eee39fe4a03d08656cad26d8f20dbb70,torch.float32,True,2,2,229440,229440,0,5225ac50804c16582128061a5dedb671f552f618918b54416e307630ace55178,df11f7806c63da4ddc2d05343aa7e07b0f9cbc6dae675730d5d7244d8048e8fe
1067,62,16,38210,sobol_08,homogeneous_bright,training_bank/062,-3.641050338745117,0.23009001878886548,bea833e07304b1a49d43b3581a0977636ed9b38a715159af77da983d0e2fa934,torch.float32,True,2,2,229440,229440,0,9cf2c643e726b3cdf7c822627740590aaf2458bcd52d828055dc87ed2cba1c68,45139a075dc1947b1dda4b7394ce6958e49ac08317fa8b37263acd09996947ad
1068,62,17,38210,sobol_09,homogeneous_bright,training_bank/062,-3.412412405014038,0.33465005307841134,72897d97a125d0786e65030043d959ecf38e8ead6dffd9aadb1688a61ba52bf5,torch.float32,True,2,2,229440,229440,0,7d68d3da87a348dec26e0df3bc0acf31183d95ebb2e8eeada8b662b6fde0bbd1,859330059dbe378c72ce2cf7c663e54eaf39e4cbbdceea1f680d33c4dcdff598
