seed,family,condition,model,loss_before,loss_after,mse,psnr_db,left_mse,right_mse,top_left_mse,top_right_mse,bottom_left_mse,bottom_right_mse,input_output_drift_mse,identity_drift_mse,parameter_count,input_clipping_fraction,output_clipping_fraction,all_finite,field_variance_exposure_ev,field_variance_gamma,field_variance_wb_r,field_variance_wb_g,field_variance_wb_b,field_variance_contrast
7,high_key,left_right,uniform96,0.13820035755634308,0.005306085105985403,0.07877598702907562,11.03606146597688,0.11643119901418686,0.04112078621983528,0.11639796197414398,0.04113820567727089,0.11646442860364914,0.04110340401530266,0.103456050157547,,96,0.5,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,left_right,spatial1,0.13820035755634308,0.00530607346445322,0.07877597957849503,11.03606187672974,0.11643115431070328,0.04112080857157707,0.116397924721241,0.041138213127851486,0.11646437644958496,0.04110341891646385,0.10345606505870819,,6,0.5,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,left_right,spatial2,0.13820035755634308,0.0014621219597756863,0.06672278046607971,11.75725864110202,0.07474435120820999,0.05870117247104645,0.07471586763858795,0.05872093886137009,0.07477283477783203,0.05868146941065788,0.12960630655288696,,24,0.5,0.0,True,0.17176020649983126,0.0003257513080240758,0.0070139031589295615,0.00701592034706281,0.00701889030598317,0.0007436339044346739
7,high_key,left_right,spatial4,0.13820035755634308,0.0006781431729905307,0.06494680047035217,11.874422390835965,0.06833429634571075,0.06155930459499359,0.0683073028922081,0.061579663306474686,0.0683613047003746,0.061538927257061005,0.13423269987106323,,96,0.5,0.0,True,0.21220588290185174,0.015525048534522023,0.01695570531631725,0.016958436382884592,0.016968528052549992,0.002603790385564493
7,high_key,left_right,spatial8,0.13820035755634308,0.0001405910588800907,0.06415709853172302,11.927552850006254,0.06425684690475464,0.06405732780694962,0.06422832608222961,0.06408082693815231,0.06428539752960205,0.06403382122516632,0.13814677298069,,384,0.5,0.0,True,0.21791385473796435,0.007563943697558983,0.023829686504790944,0.02383728295861502,0.023845384121101574,0.0010467246507451877
7,high_key,quadrants,identity,0.13820630311965942,0.13820630311965942,0.11735741049051285,9.304894818342383,0.11735545098781586,0.11735934764146805,0.17063769698143005,0.06410451233386993,0.06407323479652405,0.17061419785022736,0.0,,0,0.5,0.5,True,0.0,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17,9.028655815484188e-17
7,high_key,quadrants,global,0.13820627331733704,0.005306935403496027,0.0787670910358429,11.036551932562094,0.07878190279006958,0.07875232398509979,0.11639665067195892,0.041137441992759705,0.04116709530353546,0.11636720597743988,0.1034572422504425,,6,0.5,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,quadrants,uniform96,0.13820627331733704,0.005306941457092762,0.07876709848642349,11.036551521762883,0.07878191769123077,0.07875233143568039,0.1163967028260231,0.041137419641017914,0.04116707295179367,0.11636725068092346,0.10345720499753952,,96,0.5,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,quadrants,spatial1,0.13820627331733704,0.005306935403496027,0.0787670910358429,11.036551932562094,0.07878190279006958,0.07875232398509979,0.11639665067195892,0.041137441992759705,0.04116709530353546,0.11636720597743988,0.1034572422504425,,6,0.5,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0
7,high_key,quadrants,spatial2,0.13820627331733704,0.0020912708714604378,0.06884057819843292,11.621554906493245,0.068830206990242,0.06885091960430145,0.08122902363538742,0.056079965084791183,0.05643140524625778,0.08162190765142441,0.12509800493717194,,24,0.5,0.0,True,0.13403211312408672,7.43013427089796e-06,0.00757488193655335,0.007575395413260005,0.0075790044429752184,0.00026754879525803796
