index,low,step,psnr,ssim,delta_psnr_T026,delta_psnr_T036,delta_ssim_T036,safety_reachable,oracle_selected
0,Train/Low/low00167.png,25,19.761859359847843,0.6784072757965187,2.9911312657478106,1.2683693470470025,-0.029210914351062156,True,False
0,Train/Low/low00167.png,26,18.915045367884392,0.668622385517016,2.1443172737843597,0.4215553550835516,-0.038995804630564845,True,False
0,Train/Low/low00167.png,27,18.180095393822036,0.6594837266820938,1.4093672997220033,-0.31339461897880483,-0.04813446346548711,True,False
1,Train/Low/low00598.png,0,8.384219189013455,0.1330726719481974,-4.481881558126458,-7.043805346372103,-0.2985627889489313,True,False
1,Train/Low/low00598.png,1,8.525153650438558,0.14970393746515887,-4.340947096701356,-6.902870884947001,-0.2819315234319698,True,False
1,Train/Low/low00598.png,2,8.681544565176008,0.16785898735248522,-4.184556181963906,-6.746479970209551,-0.26377647354464345,True,False
1,Train/Low/low00598.png,3,8.85477439367647,0.1875047905824012,-4.011326353463444,-6.573250141709089,-0.2441306703147275,True,False
1,Train/Low/low00598.png,4,9.04631012763639,0.2085520462243844,-3.8197906195035234,-6.381714407749168,-0.22308341467274428,True,False
1,Train/Low/low00598.png,5,9.25771372518047,0.23084574133975927,-3.6083870219594445,-6.170310810205089,-0.2007897195573694,True,False
1,Train/Low/low00598.png,6,9.490645226401288,0.2541566139759879,-3.375455520738626,-5.937379308984271,-0.1774788469211408,True,False
1,Train/Low/low00598.png,7,9.746863275543507,0.2781763706702633,-3.1192374715964064,-5.681161259842051,-0.15345909022686538,True,False
1,Train/Low/low00598.png,8,10.028226927950449,0.30251950533013994,-2.837873819189465,-5.39979760743511,-0.12911595556698874,True,False
1,Train/Low/low00598.png,9,10.336696874141033,0.3267324317957766,-2.5294038729988806,-5.0913276612445255,-0.10490302910135207,True,False
1,Train/Low/low00598.png,10,10.674315547689881,0.35031118773633557,-2.191785199450033,-4.753708987695678,-0.0813242731607931,True,False
1,Train/Low/low00598.png,11,11.043215374472846,0.3727293992102179,-1.8228853726670682,-4.384809160912713,-0.05890606168691076,True,False
1,Train/Low/low00598.png,12,11.445601509102147,0.39347179211357003,-1.4204992380377668,-3.9824230262834117,-0.038163668783558646,True,False
1,Train/Low/low00598.png,13,11.88372573529876,0.4120708263333924,-0.9823750118411532,-3.544298800086798,-0.01956463456373625,True,False
