image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,plus_d_dark,plus_d_bright,minus_d_dark,minus_d_bright,r_dark,r_bright,plus_clipping_fraction,minus_clipping_fraction,type,active,target,absolute_type,absolute_active
115946,evaluation,smooth_gradient,full,-0.0342535674571991,-0.013192981481552124,0.17167939245700836,-0.0271187424659729,-0.004148021340370178,-0.026941031217575073,-0.01145152747631073,-0.007134824991226196,-0.001741454005241394,0.2928208112716675,4.890453965344932e-06,bright,False,-0.01145152747631073,bright,False
115946,evaluation,smooth_gradient,top_left,-0.0019055008888244629,-0.011634841561317444,0.0,-0.0006277561187744141,-0.011658668518066406,0.0038852691650390625,-0.012115851044654846,-0.0012777447700500488,0.00048100948333740234,0.12352308630943298,0.0,bright,False,-0.012115851044654846,dark,False
115946,evaluation,smooth_gradient,top_right,-0.019039377570152283,0.0013177543878555298,0.6131064295768738,-0.013640344142913818,-0.004668787121772766,-0.02402140200138092,0.00927773118019104,-0.005399033427238464,-0.00795997679233551,0.8219972848892212,0.0,dark,False,-0.013640344142913818,bright,False
115946,evaluation,smooth_gradient,bottom_left,0.02036602795124054,-0.005916625261306763,0.0,0.009021759033203125,-0.007918313145637512,0.029464155435562134,-0.005643919110298157,0.011344268918037415,-0.00027270615100860596,0.022554773837327957,0.0,dark,False,0.009021759033203125,dark,False
115946,evaluation,smooth_gradient,bottom_right,-0.012068718671798706,-0.0004787147045135498,0.07361111044883728,-0.009428471326828003,0.001590639352798462,-0.010231360793113708,-0.001342087984085083,-0.002640247344970703,0.0008633732795715332,0.20320814847946167,1.9561815861379728e-05,bright,False,-0.001342087984085083,bright,False
116479,evaluation,clean,full,-0.010517522692680359,-0.018140390515327454,0.014211010187864304,-0.01758541166782379,-0.014714553952217102,-0.0017326772212982178,-0.019218161702156067,0.007067888975143433,0.0010777711868286133,0.02430555410683155,0.014181726612150669,dark,False,-0.01758541166782379,dark,False
116479,evaluation,clean,top_left,0.012243926525115967,-0.01782156527042389,0.009923025034368038,0.0064809322357177734,-0.015769749879837036,0.017605096101760864,-0.019022241234779358,0.005762994289398193,0.0012006759643554688,0.01103580929338932,0.009923025034368038,dark,False,0.0064809322357177734,dark,False
116479,evaluation,clean,top_right,0.02466510236263275,-0.0011433511972427368,0.019904617220163345,0.017636001110076904,0.0034555792808532715,0.029180258512496948,-0.004935607314109802,0.007029101252555847,0.0037922561168670654,0.0352911613881588,0.01980421505868435,dark,False,0.017636001110076904,dark,False
116479,evaluation,clean,bottom_left,0.0004572570323944092,-0.016110211610794067,0.009086345322430134,-0.007278382778167725,-0.013142600655555725,0.008679598569869995,-0.017091676592826843,0.007735639810562134,0.0009814649820327759,0.010826638899743557,0.009086345322430134,dark,False,-0.007278382778167725,dark,False
116479,evaluation,clean,bottom_right,-0.0025737881660461426,-0.016459539532661438,0.017930053174495697,-0.008696690201759338,-0.01394316554069519,0.005779564380645752,-0.015026509761810303,0.006122902035713196,-0.0014330297708511353,0.0400686040520668,0.017913319170475006,dark,False,-0.008696690201759338,dark,False
